# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../assignment-data//db/gencode.v30.annotation.gtf" "-g" "gene_name" "-o" "../assignment-data//results/diff-res/counts.txt" "../assignment-data//results/diff-res/bwa/S1.bam" "../assignment-data//results/diff-res/bwa/S2.bam" "../assignment-data//results/diff-res/bwa/S3.bam" "../assignment-data//results/diff-res/bwa/S4.bam" "../assignment-data//results/diff-res/bwa/S5.bam" "../assignment-data//results/diff-res/hisat/S1.bam" "../assignment-data//results/diff-res/hisat/S2.bam" "../assignment-data//results/diff-res/hisat/S3.bam" "../assignment-data//results/diff-res/hisat/S4.bam" "../assignment-data//results/diff-res/hisat/S5.bam" 
Geneid	../assignment-data//results/diff-res/bwa/S1.bam	../assignment-data//results/diff-res/bwa/S2.bam	../assignment-data//results/diff-res/bwa/S3.bam	../assignment-data//results/diff-res/bwa/S4.bam	../assignment-data//results/diff-res/bwa/S5.bam	../assignment-data//results/diff-res/hisat/S1.bam
LINC02593	0	0	0	0	0	0
SAMD11	0	0	8	0	3	0
NOC2L	112	81	101	130	84	0
KLHL17	15	19	34	31	10	0
PLEKHN1	4	0	0	0	0	0
PERM1	0	0	0	0	0	0
AL645608.7	0	0	2	0	0	0
HES4	0	4	6	4	0	0
ISG15	137	139	171	142	158	0
AL645608.3	0	0	0	0	0	0
AL645608.1	0	0	0	0	0	0
AGRN	674	805	821	647	742	0
AL645608.5	0	0	0	0	0	0
AL390719.1	0	3	2	0	4	0
AL645608.8	0	0	0	0	0	0
RNF223	0	0	0	0	0	0
C1orf159	41	65	21	29	21	0
AL390719.3	0	1	0	0	0	0
LINC01342	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0
TNFRSF4	4	0	0	0	0	0
SDF4	624	647	645	675	652	0
B3GALT6	60	61	42	68	60	0
C1QTNF12	0	0	0	0	0	0
AL162741.1	0	0	0	0	2	0
UBE2J2	130	189	241	143	194	0
LINC01786	0	0	0	0	0	0
SCNN1D	0	0	0	0	4	0
ACAP3	39	33	50	52	20	0
MIR6726	0	0	0	0	0	0
PUSL1	25	19	41	35	60	0
INTS11	265	251	231	282	203	0
MIR6727	0	0	0	0	0	0
AL139287.1	0	2	0	4	1	0
CPTP	65	68	61	112	111	0
TAS1R3	0	0	0	2	0	0
DVL1	178	163	154	120	157	0
MIR6808	0	0	0	0	0	0
MXRA8	0	2	0	0	2	0
AURKAIP1	195	244	211	234	211	0
NDUFB4P8	0	0	0	0	0	0
CCNL2	179	187	204	216	211	0
MRPL20-AS1	19	47	49	36	23	0
MRPL20	121	148	170	130	183	0
RN7SL657P	0	0	0	0	0	0
AL391244.2	2	4	0	4	6	0
ANKRD65	0	0	0	0	2	0
AL391244.1	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0
VWA1	9	10	5	9	12	0
ATAD3C	13	28	35	16	16	0
ATAD3B	110	135	149	131	71	0
AL645728.2	2	4	4	3	2	0
ATAD3A	175	170	216	216	182	0
TMEM240	6	0	4	0	0	0
SSU72	291	257	291	284	311	0
AL645728.1	0	4	0	2	2	0
AL691432.3	0	0	0	0	0	0
FNDC10	16	12	4	6	0	0
AL691432.2	2	4	4	4	5	0
MIB2	59	52	89	49	46	0
MMP23B	0	0	0	0	0	0
CDK11B	218	208	234	173	196	0
FO704657.1	0	0	0	0	0	0
SLC35E2B	146	141	120	148	154	0
AL691432.1	5	2	0	2	2	0
MMP23A	0	0	0	0	0	0
CDK11A	16	14	12	11	13	0
AL031282.2	0	3	0	0	3	0
AL031282.1	0	1	0	0	1	0
SLC35E2A	35	30	44	35	40	0
NADK	249	231	277	245	248	0
GNB1	1340	1263	1373	1450	1418	0
AL109917.1	0	2	0	0	0	0
CALML6	0	0	0	0	0	0
TMEM52	0	3	0	0	0	0
CFAP74	0	0	0	0	0	0
AL391845.2	0	0	0	0	0	0
GABRD	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0
PRKCZ	2	33	4	3	14	0
AL590822.2	0	0	0	0	0	0
PRKCZ-AS1	2	0	0	2	0	0
FAAP20	56	53	42	68	59	0
AL590822.1	0	0	0	0	0	0
SKI	293	345	321	219	314	0
MORN1	0	6	8	12	2	0
AL589739.1	0	0	0	0	0	0
AL513477.1	6	8	8	12	9	0
AL513477.2	0	0	0	0	0	0
RER1	281	281	278	282	269	0
PEX10	61	44	32	45	35	0
PLCH2	0	0	0	0	0	0
AL139246.1	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0
PANK4	59	35	36	46	58	0
HES5	0	0	0	0	0	0
AL139246.5	0	0	2	0	1	0
TNFRSF14-AS1	1	0	1	0	0	0
TNFRSF14	30	20	15	29	25	0
AL139246.2	0	0	0	0	0	0
AL139246.3	0	0	0	0	0	0
PRXL2B	79	94	76	89	103	0
MMEL1	0	0	0	0	0	0
AL831784.1	0	0	0	0	0	0
TTC34	2	0	0	0	0	0
AC242022.2	0	0	0	0	0	0
AC242022.1	0	0	0	0	0	0
AL592464.2	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0
MIR4251	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0
ARHGEF16	7	11	0	0	0	0
AL512413.1	0	0	0	2	0	0
MEGF6	275	212	289	202	274	0
MIR551A	0	0	0	0	0	0
AL513320.1	0	0	0	0	0	0
TPRG1L	146	154	186	197	162	0
WRAP73	39	50	36	58	59	0
TP73	0	0	0	0	10	0
AL136528.1	0	0	0	0	0	0
AL136528.2	0	0	0	0	0	0
TP73-AS1	45	61	96	56	59	0
RF02197	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0
SMIM1	0	0	0	0	4	0
LRRC47	122	107	142	134	144	0
RN7SL574P	0	0	0	0	0	0
AL365330.1	0	1	0	1	0	0
CEP104	103	130	112	120	127	0
DFFB	16	25	36	29	24	0
C1orf174	51	58	44	61	90	0
LINC01134	0	0	0	0	0	0
LINC01346	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0
AL805961.1	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
BX005132.2	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0
AL691497.1	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0
Z98259.3	0	0	0	0	0	0
Z98259.2	0	0	0	0	0	0
Z98259.1	0	0	0	0	0	0
Z97988.2	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	49	35	65	36	52	0
KCNAB2	9	32	14	2	7	0
CHD5	0	2	0	0	0	0
AL031847.2	0	0	0	0	0	0
RPL22	134	107	159	109	148	0
AL031847.1	0	0	0	2	0	0
RNF207	2	2	2	3	3	0
ICMT	251	296	297	269	376	0
LINC00337	0	0	0	0	0	0
HES3	0	0	0	0	0	0
GPR153	12	12	19	10	6	0
ACOT7	157	186	192	157	141	0
AL031848.2	0	0	0	0	0	0
HES2	2	6	12	20	8	0
ESPN	0	0	0	2	0	0
MIR4252	0	0	0	0	0	0
AL031848.1	0	0	0	0	0	0
TNFRSF25	12	22	14	22	16	0
PLEKHG5	193	138	157	141	198	0
NOL9	50	58	94	58	69	0
RNU6-731P	0	0	0	0	0	0
AL591866.1	0	1	0	1	0	0
TAS1R1	0	0	0	0	0	0
ZBTB48	12	12	14	42	12	0
KLHL21	146	102	89	148	144	0
PHF13	62	77	79	105	74	0
THAP3	26	22	23	31	31	0
DNAJC11	212	179	237	162	211	0
LINC01672	0	0	0	0	0	0
AL591163.1	0	0	0	0	0	0
CAMTA1-DT	0	0	0	0	0	0
CAMTA1	88	63	214	119	101	0
AL590128.1	0	0	0	0	0	0
AL512330.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
CAMTA1-IT1	0	2	0	0	0	0
Z97987.1	0	0	0	0	0	0
AL365194.1	0	0	0	0	0	0
AL359881.3	0	0	0	0	0	0
AL359881.2	0	0	0	0	0	0
AL359881.1	0	0	0	0	0	0
VAMP3	340	367	370	377	419	0
Z98884.2	0	4	0	0	3	0
PER3	10	4	12	6	9	0
Z98884.1	0	0	2	0	0	0
UTS2	0	0	0	0	0	0
TNFRSF9	0	2	0	0	0	0
AL009183.1	0	0	0	0	0	0
PARK7	295	322	340	351	268	0
RF00019	7	2	4	7	8	0
AL034417.4	2	0	0	0	0	0
AL034417.3	0	0	0	0	0	0
ERRFI1	148	109	118	104	91	0
AL034417.2	0	0	0	0	0	0
AL034417.1	0	0	0	0	0	0
AL358876.1	0	0	0	0	0	0
LINC01714	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	7	8	4	16	12	0
RERE	314	349	321	409	356	0
RERE-AS1	0	0	1	0	0	0
RF00599	0	0	0	0	0	0
AL096855.1	0	0	0	0	0	0
RPL7P11	0	0	0	0	0	0
RPL7P7	0	0	0	0	0	0
AL357552.1	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0
RPL23AP19	0	0	0	0	0	0
ENO1	3053	2989	3206	2979	2801	0
MIR6728	0	0	0	0	0	0
ENO1-AS1	0	0	0	0	0	0
RNU6-304P	0	0	0	0	0	0
HMGN2P17	0	0	0	0	0	0
AL139415.1	0	0	2	2	0	0
AL139415.2	0	0	0	0	0	0
CA6	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	0	0	0	0	0	0
RF00424	0	0	0	0	0	0
GPR157	21	17	14	32	9	0
MIR34AHG	22	35	21	26	26	0
MIR34A	0	0	0	0	0	0
LNCTAM34A	0	4	5	2	4	0
H6PD	261	263	266	278	250	0
SPSB1	67	89	51	50	98	0
BX323043.1	0	0	0	0	0	0
LINC02606	2	1	4	4	6	0
RNA5SP40	0	0	0	0	0	0
AL928921.1	0	0	0	0	0	0
SLC25A33	10	9	1	6	6	0
AL954705.1	0	0	0	0	0	0
TMEM201	74	74	111	101	91	0
PIK3CD	26	24	33	21	22	0
PIK3CD-AS1	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0
PIK3CD-AS2	0	3	0	2	4	0
CLSTN1	990	879	893	905	840	0
MZT1P1	6	3	3	2	0	0
AL357140.3	0	0	0	0	0	0
CTNNBIP1	63	86	51	56	47	0
AL357140.1	0	0	0	0	0	0
AL357140.4	0	0	1	0	0	0
LZIC	94	65	79	112	80	0
AL357140.2	0	1	0	1	0	0
NMNAT1	20	10	10	7	13	0
RN7SKP269	0	0	0	0	0	0
TMEM274P	0	0	0	0	0	0
MIR5697	0	0	0	0	0	0
AL603962.1	0	0	0	0	0	0
RBP7	0	0	0	0	0	0
UBE4B	218	211	238	227	217	0
AL590639.1	0	0	0	0	0	0
PGAM1P11	0	0	0	0	0	0
RNU6-828P	0	0	0	0	0	0
KIF1B	236	225	230	275	264	0
AL358013.1	0	0	0	0	0	0
RNU6-37P	0	0	0	0	0	0
RN7SL731P	0	0	0	0	0	0
AL139424.3	0	0	0	0	0	0
AL139424.2	0	0	3	2	0	0
PGD	368	339	339	357	286	0
AL139424.1	0	0	0	0	0	0
CENPS-CORT	0	0	0	0	0	0
CENPS	1	2	0	2	0	0
CORT	0	2	0	0	0	0
DFFA	137	152	142	159	120	0
AL354956.1	0	0	0	0	0	0
PEX14	56	53	85	64	79	0
RN7SL614P	0	0	0	0	0	0
CASZ1	5	3	0	5	6	0
AL139423.1	0	2	2	2	4	0
HSPE1P24	0	0	0	0	0	0
C1orf127	0	0	0	0	0	0
CFL1P6	0	0	0	0	0	0
TARDBP	187	197	157	177	154	0
AL109811.3	0	0	0	0	0	0
MASP2	2	1	2	0	2	0
AL109811.2	1	4	2	0	1	0
SRM	300	374	354	328	319	0
EXOSC10	340	320	280	318	373	0
AL109811.1	1	3	0	0	0	0
EXOSC10-AS1	0	0	0	2	0	0
MTOR	281	253	394	337	313	0
MTOR-AS1	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0
UBIAD1	41	28	35	53	42	0
UBE2V2P3	7	6	6	6	3	0
AL031291.1	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0
DISP3	0	4	3	4	3	0
AL590989.1	0	0	0	0	2	0
LINC01647	0	0	0	0	0	0
AL031731.1	0	0	0	0	0	0
FBXO2	0	0	0	6	0	0
FBXO44	48	43	9	43	42	0
FBXO6	9	5	3	2	14	0
MAD2L2	92	39	85	73	78	0
DRAXIN	10	0	2	2	2	0
AGTRAP	78	97	74	83	72	0
C1orf167	0	0	0	0	0	0
AL953897.1	0	0	0	0	0	0
MTHFR	44	41	34	53	37	0
CLCN6	69	58	37	68	54	0
RF02156	0	0	0	0	0	0
RF02157	0	0	0	0	0	0
NPPA	0	0	0	0	0	0
RF02158	0	0	0	0	0	0
NPPB	0	0	0	0	0	0
AL021155.1	10	9	7	7	1	0
AL021155.2	0	0	0	0	0	0
RNU5E-1	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0
KIAA2013	134	112	106	145	132	0
PLOD1	1675	1539	1483	1562	1668	0
MFN2	429	366	381	348	422	0
AL096840.1	2	2	6	3	0	0
MIIP	61	65	58	59	58	0
MIR6729	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0
TNFRSF8	0	0	0	0	2	0
RNU6-777P	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0
AL357835.1	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	155	185	179	180	138	0
MIR4632	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0
RF00156	0	0	0	0	0	0
VPS13D	171	176	144	220	166	0
SNORA59A	0	0	0	0	0	0
AC243836.1	0	0	0	0	0	0
DHRS3	57	83	53	75	61	0
RNU6ATAC18P	0	0	2	0	0	0
MIR6730	0	0	0	0	0	0
AC254633.1	0	1	1	0	0	0
AADACL4	0	0	0	0	0	0
AC244670.1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
AL354712.1	0	0	0	0	0	0
BRWD1P1	0	0	0	0	0	0
PDPN	0	0	0	0	0	0
RNA5SP41	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0
RF00564	0	0	0	0	0	0
PRDM2	113	77	117	84	126	0
KAZN	22	33	27	24	29	0
RNU6-1265P	0	0	0	0	0	0
AL357873.1	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
TMEM51-AS1	0	0	0	0	0	0
TMEM51	56	43	14	20	27	0
C1orf195	0	0	0	0	0	0
AL035405.1	0	0	0	0	0	0
AL391094.1	0	0	0	0	0	0
FHAD1	0	0	0	0	0	0
AL031283.2	0	0	0	0	0	0
AL031283.3	0	0	0	0	0	0
AL031283.1	0	0	0	0	0	0
EFHD2	222	246	211	236	247	0
CTRC	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	10	17	25	4	15	0
DNAJC16	69	72	58	49	90	0
SCARNA21B	0	0	0	0	0	0
AL121992.3	0	0	0	0	0	0
AGMAT	0	0	3	2	0	0
AL121992.1	0	0	0	0	0	0
CHCHD2P6	124	115	99	86	113	0
RNU7-179P	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0
DDI2	88	105	81	112	99	0
RSC1A1	0	0	0	0	0	0
AL121992.2	0	0	0	0	0	0
PLEKHM2	235	246	234	253	293	0
AL450998.3	1	0	0	0	0	0
SLC25A34	0	0	4	4	2	0
SLC25A34-AS1	3	0	4	4	2	0
TMEM82	0	1	0	0	0	0
FBLIM1	803	859	772	850	864	0
RPL12P14	0	0	0	0	0	0
UQCRHL	115	130	134	99	133	0
AL450998.1	454	482	456	485	438	0
AL450998.2	5	0	16	2	3	0
SPEN	269	283	296	289	224	0
AL034555.1	0	0	0	0	0	0
ZBTB17	74	50	92	92	74	0
AL355994.4	3	0	0	1	0	0
AL355994.1	0	0	0	0	0	0
AL355994.5	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	0
SRARP	0	0	0	0	0	0
AL355994.3	0	0	0	0	0	0
HSPB7	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	0
AL355994.2	0	0	0	0	1	0
CLCNKB	0	2	0	0	0	0
FAM131C	2	0	0	0	6	0
EPHA2	619	682	680	700	743	0
AL451042.2	0	0	0	0	0	0
AL451042.1	2	0	0	0	0	0
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	16	7	21	22	11	0
ANO7L1	0	2	0	2	9	0
CPLANE2	14	14	2	6	9	0
MT1XP1	4	2	1	2	3	0
FBXO42	116	77	82	116	94	0
SZRD1	385	412	390	344	374	0
RPL22P3	3	1	5	0	1	0
SPATA21	0	0	0	0	0	0
NECAP2	337	336	380	396	348	0
LINC01772	0	0	4	0	0	0
CROCCP3	8	15	8	10	11	0
RNU1-1	0	0	0	0	0	0
AL137802.2	0	0	0	0	0	0
AL137802.3	0	0	0	0	0	0
AL137802.1	0	0	0	0	0	0
LINC01783	0	0	0	0	0	0
RNU1-6P	0	0	0	0	0	0
AL355149.1	0	0	0	0	0	0
NBPF1	53	52	52	71	74	0
AL137798.1	0	0	0	0	0	0
CROCCP2	55	36	36	78	36	0
AL137798.3	0	0	0	0	0	0
MST1P2	0	0	2	1	0	0
AL137798.2	0	0	0	0	0	0
RNU1-3	0	0	0	0	0	0
AL021920.2	0	0	0	0	0	0
EIF1AXP1	130	142	151	110	126	0
ESPNP	0	0	0	0	0	0
AL021920.1	0	0	0	0	0	0
AL021920.3	0	0	0	0	0	0
CROCC	48	63	63	43	28	0
CROCCP4	0	0	0	0	0	0
RNU1-4	0	0	0	0	0	0
MST1L	0	1	0	2	0	0
BX284668.1	0	0	0	0	0	0
BX284668.3	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0
BX284668.2	0	1	0	0	0	0
RNU1-5P	0	0	0	0	0	0
BX284668.5	1	0	1	1	2	0
BX284668.4	0	0	1	0	0	0
RNU1-2	0	1	0	0	0	0
BX284668.6	0	0	0	0	0	0
MFAP2	147	166	152	194	221	0
AL049569.1	0	0	0	0	0	0
ATP13A2	243	207	188	242	215	0
SDHB	188	137	176	219	145	0
PADI2	0	0	0	0	0	0
AL590644.1	0	0	0	0	0	0
AL590644.3	0	0	0	0	0	0
PADI1	0	0	0	0	0	0
PADI3	0	0	0	0	0	0
MIR3972	0	0	0	0	0	0
PADI4	0	0	0	0	0	0
PADI6	0	0	0	0	0	0
RCC2-AS1	0	0	0	0	0	0
RCC2	159	164	173	210	196	0
ARHGEF10L	30	26	16	25	27	0
AL136529.1	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0
AL357509.1	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0
AL365209.1	0	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0
AL591896.1	0	0	0	0	0	0
KLHDC7A	0	0	0	0	0	0
DYNLL1P3	17	27	23	16	14	0
AL031737.1	0	0	0	0	0	0
PAX7	0	0	0	0	0	0
TAS1R2	0	0	0	0	0	0
AL080251.1	0	0	0	0	0	0
ALDH4A1	31	15	16	28	23	0
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0
IFFO2	67	69	94	97	107	0
AL137127.1	0	0	2	0	0	0
UBR4	839	761	716	796	836	0
EMC1-AS1	0	0	0	0	0	0
EMC1	477	457	399	463	414	0
MRTO4	75	70	73	101	74	0
AL035413.2	4	0	0	0	0	0
AKR7L	1	0	0	0	1	0
AKR7A3	6	1	1	1	0	0
AL035413.1	0	0	2	2	5	0
AKR7A2	67	76	45	46	62	0
RNU6-1099P	0	0	0	0	0	0
PQLC2	47	35	46	62	31	0
CAPZB	757	869	826	822	889	0
RN7SL277P	0	0	0	0	0	0
MICOS10	8	5	8	5	2	0
RNU4-28P	0	0	0	0	0	0
AL031727.2	0	0	0	0	0	0
NBL1	163	124	148	130	144	0
MICOS10-NBL1	0	0	0	0	0	0
AL031727.1	550	489	432	508	441	0
HTR6	0	0	0	0	0	0
TMCO4	21	3	17	11	13	0
RNF186	0	0	0	0	0	0
AL391883.1	0	0	0	0	0	0
OTUD3	42	45	20	22	26	0
PLA2G2E	0	0	0	0	0	0
RN7SL304P	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
Z98257.1	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10-AS1	0	0	0	0	0	0
UBXN10	0	0	0	2	0	0
LINC01757	0	0	0	0	0	0
Z98257.2	0	0	0	0	0	0
VWA5B1	0	0	0	0	0	0
AL020998.1	0	0	0	0	0	0
LINC01141	0	0	0	0	0	0
AL139254.1	0	0	0	0	0	0
AL139254.2	0	0	0	0	0	0
AL139254.3	0	0	0	0	0	0
CAMK2N1	18	34	20	26	30	0
MUL1	67	58	60	80	75	0
RPS4XP4	0	0	0	0	0	0
FAM43B	0	0	0	0	0	0
CDA	0	0	0	0	0	0
PINK1	46	60	42	41	43	0
MIR6084	0	0	0	0	0	0
PINK1-AS	15	17	14	23	18	0
DDOST	1518	1494	1451	1558	1605	0
KIF17	4	0	0	4	0	0
AL663074.2	0	0	0	0	0	0
SH2D5	0	0	2	0	0	0
AL663074.1	0	0	0	0	0	0
HP1BP3	613	639	518	512	497	0
EIF4G3	341	249	304	289	302	0
RNU7-200P	0	0	0	0	0	0
MIR1256	0	0	0	0	0	0
RPS15AP6	0	0	0	0	0	0
AL627311.1	0	0	0	0	0	0
HSPE1P27	0	0	0	0	0	0
ECE1	4014	3956	3859	4078	4009	0
AL031005.1	0	0	0	0	0	0
AL031728.1	0	0	0	2	0	0
PPP1R11P1	8	5	8	7	2	0
AL592309.1	0	0	0	0	0	0
AL592309.2	0	0	0	0	0	0
NBPF2P	2	2	1	1	1	0
HS6ST1P1	8	6	8	8	16	0
CROCCP5	0	0	0	0	0	0
NBPF3	6	29	11	20	27	0
PFN1P10	0	0	0	0	0	0
ALPL	6	4	2	7	19	0
LINC02596	0	0	0	0	0	0
RAP1GAP	0	0	0	0	0	0
USP48	385	339	420	390	450	0
AL590103.1	0	0	0	0	0	0
